date,product,category,price
2022-03-15,Death Bubba Hash by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Tuna Rockstar HASH by TF,premium-domestic-hash,$16.00/g
2022-03-15,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Malani Style Elephant Hash,premium-domestic-hash,$13.00/g
2022-03-15,Gods Green Crack by Tegridy Farms,premium-domestic-hash,$17.00/g
2022-03-15,Dragon Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-03-15,Blue Dream by Tegridy Farms,premium-domestic-hash,$16.50/g
2022-03-15,Lebanese Style Rooster Hash,premium-domestic-hash,$12.00/g
2022-03-15,MK Ultra Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Phoenix Stamp Banana Kush Hash,premium-domestic-hash,$15.50/g
2022-03-15,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-03-15,Kush Mint Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Sophies Breath Sativa Hash by Tegridy Farms,premium-domestic-hash,$16.00/g
2022-03-15,Healing Tree Hash,premium-domestic-hash,$12.00/g
2022-03-15,Mayan Gold,premium-domestic-hash,$14.00/g
2022-03-15,Gelato x Do-si-Dos Full Melt Hash,premium-domestic-hash,$18.00/g
2022-03-15,Holy Bible Stamp Lindsay OG Hash,premium-domestic-hash,$17.00/g
2022-03-15,Dove Stamp MK Ultra,premium-domestic-hash,$17.00/g
2022-03-15,Sugar Cookies by Tegridy Farms,premium-domestic-hash,$17.00/g
2022-03-15,20g Island Bushido Chunk by Hash Assassins,premium-domestic-hash,$230.00 
2022-03-15,Citrus Cookies,buy-sativa-online,$4.00/g
2022-03-15,Triangle Mints,buy-sativa-online,$5.00/g
2022-03-15,Orange Aid 7g by Tegridy Farms,buy-sativa-online,$78.50 
2022-04-14,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tuna Rockstar HASH by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-04-14,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-04-14,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-04-14,Kings Crown,premium-domestic-hash,$19.00/g
2022-04-14,Full Melt Hash Banana Cookies Strain,premium-domestic-hash,$17.00/g
2022-04-14,Death Star by Hash Assassins,premium-domestic-hash,$15.00/g
2022-04-14,Kush Mint Full Melt Hash,premium-domestic-hash,$18.00/g
2022-04-14,Tom Ford Full Melt Hash,premium-domestic-hash,$17.00/g
2022-04-14,Malani Style Elephant Hash,premium-domestic-hash,$13.00/g
2022-04-14,MK Ultra Hash by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-04-14,Full Melt Wildberry Runtz,premium-domestic-hash,$17.00/g
2022-04-14,Phoenix Stamp Banana Kush Hash,premium-domestic-hash,$13.00/g
2022-04-14,Sour Dream Sativa Hash by Hash Assassins,premium-domestic-hash,$15.00/g
2022-04-14,Gods Green Crack by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Death Bubba Hash by Tegridy Farms,premium-domestic-hash,$15.50/g
2022-04-14,Holy Bible Stamp Lindsay OG Hash,premium-domestic-hash,$14.00/g
2022-04-14,GDP Fresh Frozen Full Melt,premium-domestic-hash,$19.00/g
2022-04-14,Mayan Gold,premium-domestic-hash,$18.00/g
2022-04-14,Triangle Mints,buy-sativa-online,$5.00/g
2022-04-14,7g Gelato 33 by Tegridy Farms,buy-sativa-online,$69.00 
2022-04-14,Mad Scientist ,buy-sativa-online,$5.75/g
2022-04-14,Five Alive ,buy-sativa-online,$6.50/g
2022-04-14,Orange Aid 7g by Tegridy Farms,buy-sativa-online,$69.00 
2022-04-14,Mimosa,buy-sativa-online,$6.75/g
2022-04-14,Mandarin Sunset,buy-sativa-online,$8.25/g
2022-04-14,Orange ,buy-sativa-online,$8.00/g
2022-04-14,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tuna Rockstar HASH by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-04-14,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-04-14,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-04-14,Kings Crown,premium-domestic-hash,$19.00/g
2022-04-14,Full Melt Hash Banana Cookies Strain,premium-domestic-hash,$17.00/g
2022-04-14,Death Star by Hash Assassins,premium-domestic-hash,$15.00/g
2022-04-14,Kush Mint Full Melt Hash,premium-domestic-hash,$18.00/g
2022-04-14,Tom Ford Full Melt Hash,premium-domestic-hash,$17.00/g
2022-04-14,Malani Style Elephant Hash,premium-domestic-hash,$13.00/g
2022-04-14,MK Ultra Hash by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-04-14,Full Melt Wildberry Runtz,premium-domestic-hash,$17.00/g
2022-04-14,Phoenix Stamp Banana Kush Hash,premium-domestic-hash,$13.00/g
2022-04-14,Sour Dream Sativa Hash by Hash Assassins,premium-domestic-hash,$15.00/g
2022-04-14,Gods Green Crack by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-04-14,Death Bubba Hash by Tegridy Farms,premium-domestic-hash,$15.50/g
2022-04-14,Holy Bible Stamp Lindsay OG Hash,premium-domestic-hash,$14.00/g
2022-04-14,GDP Fresh Frozen Full Melt,premium-domestic-hash,$19.00/g
2022-04-14,Mayan Gold,premium-domestic-hash,$18.00/g
2022-04-14,Triangle Mints,buy-sativa-online,$5.00/g
2022-04-14,7g Gelato 33 by Tegridy Farms,buy-sativa-online,$69.00
2022-04-14,Mad Scientist ,buy-sativa-online,$5.75/g
2022-04-14,Five Alive ,buy-sativa-online,$6.50/g
2022-04-14,Orange Aid 7g by Tegridy Farms,buy-sativa-online,$69.00
2022-04-14,Mimosa,buy-sativa-online,$6.75/g
2022-04-14,Mandarin Sunset,buy-sativa-online,$8.25/g
2022-04-14,Orange ,buy-sativa-online,$8.00/g
2022-05-09,Master Kush Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-05-09,MK Ultra Hash by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-05-09,Tuna Rockstar HASH by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-05-09,Tegridy Farms - Hindu Kush,premium-domestic-hash,$14.00/g
2022-05-09,Pink Goo Hash by Tegridy Farms,premium-domestic-hash,$15.00/g
2022-05-09,Malani Style Elephant Hash,premium-domestic-hash,$8.45/g
2022-05-09,Gorilla Glue Hash By Tegridy Farms,premium-domestic-hash,$16.00/g
2022-05-09,Slurry Crashers Full Melt,premium-domestic-hash,$17.00/g
2022-05-09,Full Melt Runtz,premium-domestic-hash,$17.00/g
2022-05-09,Death Bubba Hash by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-05-09,Chernobyl Cookies by Tegridy Farms,premium-domestic-hash,$14.00/g
2022-05-09,Cereal Milk Full Melt,premium-domestic-hash,$17.00/g
2022-05-09,Sour Dream Sativa Hash by Hash Assassins,premium-domestic-hash,$15.00/g
2022-05-09,Kush Mint Full Melt Hash,premium-domestic-hash,$18.00/g
2022-05-09,Death Star by Hash Assassins,premium-domestic-hash,$15.00/g
2022-05-09,Full Melt Hash Banana Cookies Strain,premium-domestic-hash,$17.00/g
2022-05-09,Cured Finger Rub,premium-domestic-hash,$19.00/g
2022-05-09,Phoenix Stamp Banana Kush Hash,premium-domestic-hash,$10.00/g
2022-05-09,Tom Ford Full Melt Hash,premium-domestic-hash,$13.81/g
2022-05-09,Pink Gas Zero Zero 7g Egg,premium-domestic-hash,$99.00
2022-05-09,Kings Crown,premium-domestic-hash,$19.50/g
2022-05-09,Chiesel,buy-sativa-online,$5.75/g
2022-05-09,Triangle Mints,buy-sativa-online,$5.00/g
2022-05-09,7g Gelato 33 by Herban Legends,buy-sativa-online,$69.00
